plantID_OLD,plantID,year,month,day,round,plant_genus_sp,plant_genus,plant_species,#floral_units,observer,notes
UB39,39UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB22,22UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB29,29UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB26,26UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB25,25UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB41,41UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB27,27UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB40,40UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB38,38UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB19,19UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB36,36UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB45,45UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB44,44UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB35,35UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB11,11UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB12,12UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB18,18UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB14,14UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB16,16UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB34,34UB,2018,July,30,6,NA NA,NA,NA,NA,,
B28,28B,2018,July,30,6,NA NA,NA,NA,NA,,
B26,26B,2018,July,30,6,NA NA,NA,NA,NA,,
B38,38B,2018,July,30,6,Ali ste,Allium,stellatum,1,,
B24,24B,2018,July,30,6,NA NA,NA,NA,NA,,
B42,42B,2018,July,30,6,NA NA,NA,NA,NA,,
B37,37B,2018,July,30,6,NA NA,NA,NA,NA,,
B23,23B,2018,July,30,6,NA NA,NA,NA,NA,,
B22,22B,2018,July,30,6,NA NA,NA,NA,NA,,
B25,25B,2018,July,30,6,NA NA,NA,NA,NA,,
B21,21B,2018,July,30,6,NA NA,NA,NA,NA,,
B27,27B,2018,July,30,6,NA NA,NA,NA,NA,,
B41,41B,2018,July,30,6,NA NA,NA,NA,NA,,
UB30,30UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB37,37UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB28,28UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB42,42UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB23,23UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB21,21UB,2018,July,30,6,NA NA,NA,NA,NA,,
UB24,24UB,2018,July,30,6,NA NA,NA,NA,NA,,
