plantID_OLD,plantID,round,year,month,day,#dalpur_1m,#dalpur_5m,NN_1,NN_2,NN_3,observer,notes,Column 13
UB39,39UB,6,2018,July,30,1,0,595,590,770,,,
UB22,22UB,6,2018,July,30,0,4,NA,NA,NA,,,
UB29,29UB,6,2018,July,30,1,3,370,415,485,,,
UB26,26UB,6,2018,July,30,0,5,NA,NA,NA,,,
UB25,25UB,6,2018,July,30,0,12,NA,NA,NA,,,
UB41,41UB,6,2018,July,30,0,20,155,165,220,,,
UB27,27UB,6,2018,July,30,0,10,55,85,210,,,
UB40,40UB,6,2018,July,30,0,27,270,300,300,,,
UB38,38UB,6,2018,July,30,3,20,30,85,80,,,
UB19,19UB,6,2018,July,30,0,0,860,900,950,,,
UB36,36UB,6,2018,July,30,0,14,195,290,315,,,
UB45,45UB,6,2018,July,30,0,1,455,690,745,,,
UB44,44UB,6,2018,July,30,0,1,NA,NA,NA,,,
UB35,35UB,6,2018,July,30,0,0,NA,NA,NA,,,
UB11,11UB,6,2018,July,30,0,1,NA,NA,NA,,,
UB12,12UB,6,2018,July,30,0,1,NA,NA,NA,,,
UB18,18UB,6,2018,July,30,0,3,NA,NA,NA,,,
UB14,14UB,6,2018,July,30,0,0,NA,NA,NA,,,
UB16,16UB,6,2018,July,30,0,0,NA,NA,NA,,,
UB34,34UB,6,2018,July,30,0,3,NA,NA,NA,,,
B28,28B,6,2018,July,30,1,10,385,410,435,,,
B26,26B,6,2018,July,30,3,5,35,440,620,,,
B38,38B,6,2018,July,30,10,16,20,25,35,,,
B24,24B,6,2018,July,30,1,1,NA,NA,NA,,,
B42,42B,6,2018,July,30,1,1,60,730,1040,,,
B37,37B,6,2018,July,30,3,7,35,160,200,,,
B23,23B,6,2018,July,30,4,1,350,630,905,,,
B22,22B,6,2018,July,30,1,4,NA,NA,NA,,,
B25,25B,6,2018,July,30,0,5,NA,NA,NA,,,
B21,21B,6,2018,July,30,0,1,NA,NA,NA,,,
