envelopeID,plantID,day,month,year,Num_Heads,Aborted_Heads,Dehisced_Heads,#full_seeds,#partial_full_seeds,#aborted_seeds,notes,date_processed,processed_by,
12ub_16aug,12UB,16,aug,2018,2,0,0,110,0,12,,,gp,
18ub_16aug,18UB,16,aug,2018,2,0,0,252,0,39,,,gp,
3ubc_16aug,3UBC,16,aug,2018,3,0,0,288,11,12,,,gp,
45ub_16aug,45UB,16,aug,2018,11,3,0,460,120,59,,,gp,
36ub_16aug,36UB,16,aug,2018,1,0,0,76,11,47,,,gp,
34ub_16aug,34UB,16,aug,2018,1,0,0,98,38,14,,,gp,
19ub_16aug,19UB,16,aug,2018,2,0,0,235,145,27,,,gp,
5ubc_16aug,5UBC,16,aug,2018,5,4,0,300,19,8,,10/8/2018,ed,
43ub_5sep,43UB,5,sept,2018,1,0,0,67,7,0,,10/8/2018,ed,
20ub_16aug,20UB,16,aug,2018,5,0,0,490,59,13,,,ed,
35ub_5sept,35UB,5,sept,2018,1,0,0,74,23,6,,10/10/2018,gp,
17ub_5sept,17UB,5,sept,2018,3,0,0,214,35,18,,10/10/2018,gp,
10ubc_22aug,10UBC,22,aug,2018,1,1,0,151,48,25,,10/12/2018,ed,
30ub_22aug,30UB,22,aug,2018,2,0,0,119,44,26,,10/12/2018,ed,
37ub_22aug,37UB,22,aug,2018,1,0,0,90,12,19,"GLP went through and checked seeds, made changes to original seed count",10/12/2018,ed,
11ubc_22aug,11UBC,22,aug,2018,2,0,0,370,10,27,,10/12/2018,ed,
10ubc_5sept,10UBC,5,sept,2018,3,0,0,181,52,31,"GLP went through and checked seeds, made changes to original seed count; 1 small",10/19/2018,ed,
12ubc_5sept,12UBC,5,sept,2018,1,0,0,108,31,6,"GLP went through and checked seeds, made changes to original seed count",10/19/2018,ed,
7ubc_22aug,7UBC,22,aug,2018,1,0,0,68,16,32,,10/22/2018,ed,
41ub_22aug,41UB,22,aug,2018,1,0,0,70,57,37,,10/22/2018,ed,
8ubc_22aug,8UBC,22,aug,2018,1,0,0,75,44,71,,4/9/2019,ak,
22b_16aug,22B,16,aug,2018,1,0,0,117,11,22,,10/24/2018,ak,
6bc_16aug,6BC,16,aug,2018,2,0,0,85,67,106,,,,
5bc_16aug,5BC,16,aug,2018,2,2,0,121,58,28,"GLP went through and checked seeds, made changes to original seed count; 1 small",,ak,
35b_5sept,35B,5,sept,2018,1,0,0,100,15,39,,10/26/2018,ed,
36b_5sept,36B,5,sept,2018,3,0,0,199,5,29,,10/26/2018,ed,
43b_5sept,43B,5,sept,2018,3,1,0,156,3,28,,10/26/2018,ed,
11bc_5sept,11BC,5,sept,2018,3,0,0,233,37,118,,10/26/2018,ak,
10bc_5sept,10BC,5,sept,2018,2,0,0,150,5,46,,10/26/2018,ed,
44b_5sept,44B,5,sept,2018,1,0,0,53,5,0,,10/26/2018,ed,
45b_5sept,45B,5,sept,2018,1,0,0,68,2,7,,10/26/2018,ed,
20b_5sept,20B,5,sept,2018,3,0,0,191,59,133,,10/29/2018,ed,
15b_5sept,15B,5,sept,2018,2,0,0,110,8,35,,10/29/2018,ed,
19b_5sept,19B,5,sept,2018,2,0,0,84,4,35,,10/31/2018,ed,
12b_5sept,12B,5,sept,2018,5,0,0,417,81,93,,10/31/18 and 11/02/18,ed,
