plantID,round,year,month,day,#bloom_flwheads,head1,head1_RF,head2,head2_RF,head3,head3_RF,head4,head4_RF,head5,head5_RF,#pre_flwheads,#post_flwheads,#stems,#stigma,observer,entered by,Column 18
1UB,NA,2018,July,9,10,6,F,24,R,36,R,48,R,1,F,2,NA,,,,,
3B,5,2018,July,26,3,36,R,30,R,36,R,0,0,0,0,2,0,5,9,"GP, MR",ED,
9B,5,2018,July,26,5,12,R,1,F,3,F,2,F,4,F,0,5,4,11,"GP, MR",ED,
8B,5,2018,July,26,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"GP, MR",ED,
7B,5,2018,July,26,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,"GP, MR",ED,
4B,5,2018,July,26,6,24,R,30,R,24,R,36,R,18,R,0,0,2,12,"GP, MR",ED,
31B,5,2018,July,26,1,30,R,0,0,0,0,0,0,0,0,0,0,1,3,"GP, MR",ED,
2B,5,2018,July,26,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,"GP, MR",ED,
1B,5,2018,July,26,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,"GP, MR",ED,
6B,5,2018,July,26,17,24,R,12,R,36,R,24,R,12,R,0,0,6,9,"GP, MR",ED,
10B,5,2018,July,26,10,24,R,12,R,24,R,24,R,24,R,0,1,2,9,"GP, MR",ED,
31UB,5,2018,July,26,2,24,R,24,R,0,0,0,0,0,0,1,0,4,4,"GP, MR",ED,
32UB,5,2018,July,26,1,30,R,0,0,0,0,0,0,0,0,0,0,1,3,"GP, MR",ED,
1UB,5,2018,July,26,17,12,R,24,R,24,R,24,R,24,R,0,0,6,9,"GP, MR",ED,
29B,3,2018,July,21,1,12,R,0,0,0,0,0,0,0,0,2,0,4,1,GP,ED,
30B,3,2018,July,21,1,36,R,0,0,0,0,0,0,0,0,4,0,2,3,GP,ED,
28B,3,2018,July,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,GP,ED,
26B,3,2018,July,21,1,36,R,0,0,0,0,0,0,0,0,1,0,2,3,GP,ED,
24B,3,2018,July,21,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,GP,ED,
23B,3,2018,July,21,2,18,R,24,R,0,0,0,0,0,0,5,0,2,3,GP,ED,
25B,3,2018,July,21,3,18,R,18,R,15,R,0,0,0,0,0,0,3,3,GP,ED,
22B,3,2018,July,21,2,36,R,30,R,0,0,0,0,0,0,0,0,2,5,GP,ED,
21B,3,2018,July,21,1,18,R,0,0,0,0,0,0,0,0,0,0,1,1,GP,ED,
27B,3,2018,July,21,1,48,R,0,0,0,0,0,0,0,0,3,0,1,4,GP,ED,
24UB,3,2018,July,21,3,7,F,12,R,18,R,0,0,0,0,4,0,8,3,GP,ED,
22UB,3,2018,July,21,1,24,R,0,0,0,0,0,0,0,0,0,0,1,2,GP,ED,
29UB,3,2018,July,21,9,8,F,7,F,2,F,7,F,12,R,0,2,5,5,GP,ED,
28UB,3,2018,July,21,12,12,R,12,R,24,R,18,R,24,R,0,1,4,7,GP,ED,
27UB,3,2018,July,21,2,48,R,30,R,0,0,0,0,0,0,3,0,4,6,GP,ED,
26UB,3,2018,July,21,1,12,R,0,0,0,0,0,0,0,0,0,0,1,1,GP,ED,
25UB,3,2018,July,21,8,12,R,24,R,12,R,18,R,30,R,1,0,3,7,GP,ED,
30UB,3,2018,July,21,2,24,R,6,F,0,0,0,0,0,0,0,0,1,3,GP,ED,
23UB,3,2018,July,21,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,GP,ED,
21UB,3,2018,July,21,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,GP,ED,
10B,3,2018,July,21,5,36,R,36,R,24,R,24,R,24,R,6,0,2,12,GP,ED,
1B,3,2018,July,21,4,36,R,24,R,24,R,12,R,0,0,0,0,3,8,GP,ED,
2B,3,2018,July,21,3,24,R,24,R,18,R,0,0,0,0,0,0,3,5,GP,ED,
6B,3,2018,July,21,6,18,R,24,R,30,R,36,R,36,R,11,0,6,11,GP,ED,
7B,3,2018,July,21,2,6,F,10,F,0,0,0,0,0,0,0,0,2,2,GP,ED,
8B,3,2018,July,21,2,5,F,12,R,0,0,0,0,0,0,0,0,2,2,GP,ED,
9B,3,2018,July,21,13,24,R,24,R,24,R,18,R,24,R,0,0,4,9,GP,ED,
5B,3,2018,July,21,5,1,F,24,R,8,F,18,R,24,R,0,0,5,7,GP,ED,
3B,3,2018,July,21,1,12,R,0,0,0,0,0,0,0,0,4,0,5,1,GP,ED,
4B,3,2018,July,21,2,12,R,18,R,0,0,0,0,0,0,4,0,2,2,GP,ED,
19UB,3,2018,July,21,12,12,R,12,R,12,R,12,R,12,R,2,1,8,5,AR,ED,
17UB,3,2018,July,21,2,12,R,24,R,0,0,0,0,0,0,1,0,3,3,AR,ED,
13UB,3,2018,July,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,AR,ED,
15UB,3,2017,July,21,8,12,R,12,R,12,R,12,R,12,R,4,0,3,5,AR,ED,@ collection all anthers eaten; AR 14Feb2019
16UB,3,2018,July,21,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,AR,ED,
14UB,3,2018,July,21,1,36,R,0,0,0,0,0,0,0,0,3,0,2,3,AR,ED,
18UB,3,2018,July,21,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,AR,ED,
20UB,3,2018,July,21,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,AR,ED,
12UB,3,2018,July,21,1,3,F,0,0,0,0,0,0,0,0,1,2,4,0,AR,ED,@ collection all stigma gone or eaten by predation
11UB,3,2018,July,21,2,12,R,6,F,0,0,0,0,0,0,0,0,2,2,AR,ED,
12B,3,2018,July,21,15,12,R,24,R,24,R,36,R,36,R,0,2,7,11,AR,ED,
11B,3,2018,July,21,2,12,R,24,R,0,0,0,0,0,0,1,0,2,3,AR,ED,
13B,3,2018,July,21,2,12,R,24,R,0,0,0,0,0,0,0,0,2,3,AR,ED,
14B,3,2018,July,21,2,24,R,24,R,0,0,0,0,0,0,2,0,4,4,AR,ED,
15B,3,2018,July,21,2,24,R,5,F,0,0,0,0,0,0,0,0,2,3,AR,ED,
17B,3,2018,July,21,1,18,R,0,0,0,0,0,0,0,0,1,0,1,2,AR,ED,
18B,3,2018,July,21,1,6,F,0,0,0,0,0,0,0,0,0,0,1,1,AR,ED,
16B,3,2018,July,21,4,12,R,12,R,12,R,12,R,0,0,6,0,4,4,AR,ED,
