stigmaID,plantID,slide#,cover,day,round,month,year,stigma#,dpurp_pollen,amocan_pollen,aster_pollen,dcand_pollen,unknown_hetero_pollen,date_processed,processed_by,notes
20b_1_1_12July,20B,1,l,12,1,July,2018,1,6,76,0,0,0,9/14/2018,AR,almost all hetero is amorpha (i'm 95% certain it composes 99% of hetero load)
20b_1_2_12July,20B,1,l,12,1,July,2018,2,6,3,0,0,0,9/14/2018,AR,
20b_1_3_12july,20B,1,l,12,1,July,2018,3,5,1,0,0,0,9/14/2018,AR,
30ub_1_1_12july,30UB,1,r,12,1,July,2018,1,NA,NA,NA,NA,NA,9/14/2018,AR,stigma tip missing
29ub_2_1_12july,29UB,2,l,12,1,July,2018,1,NA,NA,NA,NA,NA,9/14/2018,AR,stigma tip missing
5ub_2_1_12july,5UB,2,r,12,1,July,2018,1,NA,NA,NA,NA,NA,9/14/2018,AR,stigma tip missing
5ub_2_2_12july,5UB,2,r,12,1,July,2018,2,0,1,0,0,0,9/14/2018,AR,
5ub_2_3_12july,5UB,2,r,12,1,July,2018,3,0,0,0,0,0,9/14/2018,AR,
2ub_3_1_12july,2UB,3,r,12,1,July,2018,1,58,0,1,0,0,9/14/2018,AR,24Oct: maybe 1-2 candida?
2ub_3_2_12july,2UB,3,r,12,1,July,2018,2,30,0,4,0,0,9/14/2018,AR,
2ub_3_3_12july,2UB,3,r,12,1,July,2018,3,13,6,0,0,0,9/14/2018,AR,
12b_4_1_12july,12B,4,l,12,1,July,2018,1,0,1,0,0,0,9/14/2018,AR,
12b_4_2_12july,12B,4,l,12,1,July,2018,2,0,0,0,0,0,9/14/2018,AR,
12b_4_1_12july,12B,4,r,12,1,July,2018,1,1,26,0,0,0,9/14/2018,AR,marked 2s only 1s
9b_5_1_12july,9B,5,l,12,1,July,2018,1,5,27,0,0,0,9/14/2018,AR,
9b_5_2_12july,9B,5,l,12,1,July,2018,2,0,0,0,0,0,9/14/2018,AR,
9b_5_1_12july,9B,5,r,12,1,July,2018,1,9,8,0,0,0,9/14/2018,AR,
9b_5_2_12july,9B,5,r,12,1,July,2018,2,9,29,0,0,0,9/14/2018,AR,
9b_5_3_12july,9B,5,r,12,1,July,2018,3,0,0,0,0,0,9/14/2018,AR,
9b_6_1_12july,9B,6,l,12,1,July,2018,1,9,31,0,0,0,9/14/2018,AR,
9b_6_2_12july,9B,6,l,12,1,July,2018,2,4,29,0,0,0,9/14/2018,AR,
29ub_6_1_12july,29UB,6,r,12,1,July,2018,1,0,0,0,0,0,9/14/2018,AR,
29ub_6_2_12july,29UB,6,r,12,1,July,2018,2,0,0,0,0,0,9/14/2018,AR,
16ub_7_1_12july,16UB,7,l,12,1,July,2018,1,11,3,0,1,0,9/14/2018,AR,
24ub_7_1_12july,24UB,7,r,12,1,July,2018,1,3,4,0,0,0,9/14/2018,AR,
24ub_7_2_12july,24UB,7,r,12,1,July,2018,2,11,0,0,1,0,9/14/2018,AR,
7ub_8_1_12july,7UB,8,l,12,1,July,2018,1,21,0,1,0,0,9/14/2018,AR,
7ub_8_2_12july,7UB,8,l,12,1,July,2018,2,12,0,0,0,0,9/14/2018,AR,
7ub_8_1_12july,7UB,8,r,12,1,July,2018,1,3,3,0,0,0,9/14/2018,AR,2 dalpur pollen grains suspended near stigma maybe dislodged
7ub_8_2_12july,7UB,8,r,12,1,July,2018,2,2,0,0,0,1,9/14/2018,AR,
10ub_9_1_12july,10UB,9,l,12,1,July,2018,1,0,0,0,0,0,9/14/2018,AR,
10ub_9_2_12july,10UB,9,l,12,1,July,2018,2,0,0,1,0,0,9/14/2018,AR,
10ub_9_1_12july,10UB,9,r,12,1,July,2018,1,0,0,0,0,0,9/14/2018,AR,
10ub_9_2_12july,10UB,9,r,12,1,July,2018,2,NA,NA,NA,NA,NA,9/14/2018,AR,stigma appears broken off
10ub_9_3_12july,10UB,9,r,12,1,July,2018,3,4,0,0,0,0,9/14/2018,AR,
10ub_10_1_12july,10UB,10,l,12,1,July,2018,1,19,0,0,0,0,9/14/2018,AR,
10ub_10_2_12july,10UB,10,l,12,1,July,2018,2,24,1,0,0,0,9/14/2018,AR,
10ub_10_3_12july,10UB,10,l,12,1,July,2018,3,0,0,0,0,0,9/14/2018,AR,
18ub_10_1_12july,18UB,10,r,12,1,July,2018,1,NA,NA,NA,NA,NA,9/14/2018,AR,stigma appears damaged; some pollen nearby 
18ub_10_2_12july,18UB,10,r,12,1,July,2018,2,2,0,0,0,0,9/14/2018,AR,
18ub_10_3_12july,18UB,10,r,12,1,July,2018,3,2,1,0,0,0,9/14/2018,AR,
18ub_11_1_12july,18UB,11,l,12,1,July,2018,1,4,2,0,0,0,9/17/2018,AR,
18ub_11_2_12july,18UB,11,l,12,1,July,2018,2,5,0,0,1,0,9/17/2018,AR,
18ub_11_3_12july,18UB,11,l,12,1,July,2018,3,3,6,1,1,0,9/17/2018,AR,
21ub_11_1_12july,21UB,11,r,12,1,July,2018,1,14,5,5,2,2,9/17/2018,AR,recounted 10/26/2018
21ub_11_2_12july,21UB,11,r,12,1,July,2018,2,18,4,0,0,3,9/17/2018,AR,
21ub_11_3_12july,21UB,11,r,12,1,July,2018,3,12,13,0,0,0,9/17/2018,AR,
21ub_12_1_12july,21UB,12,l,12,1,July,2018,1,0,0,0,0,0,9/17/2018,AR,
21ub_12_2_12july,21UB,12,l,12,1,July,2018,2,2,0,0,0,0,9/17/2018,AR,
