plantID,year,month,day,round,time,morphoID,touches,notes,observer,entered_by
36UB,2018,July,30,6,11:53,NA,NA,,,GM
14UB,2018,July,30,6,11:54,Syrphid,1,,,GM
13UB,2018,July,30,6,11:58,Syrphid,1,,,GM
13UB,2018,July,30,6,11:58,Syrphid,1,,,GM
35UB,2018,July,30,6,12:00,NA,NA,,,GM
45UB,2018,July,30,6,12:11,NA,NA,,,GM
43UB,2018,July,30,6,12:17,NA,NA,,,GM
29UB,2018,July,30,6,12:23,NA,NA,,,GM
24UB,2018,July,30,6,12:25,NA,NA,,,GM
28UB,2018,July,30,6,12:27,NA,NA,,,GM
40UB,2018,July,30,6,12:28,Syrphid,1,,,GM
38UB,2018,July,30,6,12:29,NA,NA,,,GM
41UB,2018,July,30,6,12:30,NA,NA,,,GM
27UB,2018,July,30,6,12:31,Syrphid,1,,,GM
37UB,2018,July,30,6,12:33,NA,NA,,,GM
39UB,2018,July,30,6,12:38,NA,NA,,,GM
25UB,2018,July,30,6,NA,NA,NA,flowers wilted/eaten for this round,,GM
38B,2018,July,30,6,12:44,NA,NA,,,GM
23B,2018,July,30,6,12:46,NA,NA,,,GM
37B,2018,July,30,6,12:47,NA,NA,,,GM
42B,2018,July,30,6,12:49,NA,NA,,,GM
26B,2018,July,30,6,12:51,NA,NA,,,GM
41B,2018,July,30,6,12:53,NA,NA,,,GM
28B,2018,July,30,6,12:55,NA,NA,,,GM
39B,2018,July,30,6,12:56,NA,NA,,,GM
29B,2018,July,30,6,12:58,NA,NA,,,GM
30B,2018,July,30,6,12:59,NA,NA,,,GM
40B,2018,July,30,6,13:04,Augochlorini,1,,,GM
27B,2018,July,30,6,13:06,NA,NA,,,GM
41UB,2018,July,30,6,9:56,Syrphid,1,small,,GM
29UB,2018,July,30,6,9:58,NA,NA,,,GM
22UB,2018,July,30,6,NA,NA,NA,no flowers,,GM
24UB,2018,July,30,6,10:00,NA,NA,,,GM
21UB,2018,July,30,6,NA,NA,NA,no flowers,,GM
23UB,2018,July,30,6,NA,NA,NA,no flowers,,GM
42UB,2018,July,30,6,NA,NA,NA,no flowers,,GM
28UB,2018,July,30,6,10:05,NA,NA,,,GM
39UB,2018,July,30,6,10:08,Syrphid,1,small,,GM
39UB,2018,July,30,6,10:08,Syrphid,1,small,,GM
39UB,2018,July,30,6,10:08,Syrphid,1,small,,GM
44UB,2018,July,30,6,NA,NA,NA,no flowers,,GM
45UB,2018,July,30,6,10:12,Syrphid,1,,,GM
45UB,2018,July,30,6,10:12,Syrphid,1,,,GM
45UB,2018,July,30,6,10:12,Syrphid,1,,,GM
36UB,2018,July,30,6,10:16,Syrphid,1,,,GM
36UB,2018,July,30,6,10:16,Syrphid,1,,,GM
36UB,2018,July,30,6,10:16,Syrphid,1,,,GM
15UB,2018,July,30,6,NA,NA,NA,no flowers w/ pollen & flowers are all wilted,,GM
13UB,2018,July,30,6,10:21,Syrphid,1,small,,GM
13UB,2018,July,30,6,10:21,Syrphid,2,small,,GM
13UB,2018,July,30,6,10:21,Syrphid,1,small,,GM
16UB,2018,July,30,6,NA,NA,NA,,,GM
20UB,2018,July,30,6,NA,NA,NA,,,GM
18UB,2018,July,30,6,NA,NA,NA,,,GM
12UB,2018,July,30,6,NA,NA,NA,,,GM
11UB,2018,July,30,6,NA,NA,NA,,,GM
35UB,2018,July,30,6,10:25,Syrphid,1,,,GM
14UB,2018,July,30,6,10:29,Lasioglossum,3,,,GM
14UB,2018,July,30,6,10:29,Lasioglossum,1,,,GM
14UB,2018,July,30,6,10:29,Syrphid,1,,,GM
34UB,2018,July,30,6,10:31,Syrphid,1,,,GM
34UB,2018,July,30,6,10:31,Syrphid,1,,,GM
43UB,2018,July,30,6,10:32,Syrphid,2,,,GM
43UB,2018,July,30,6,10:32,Lasioglossum,1,,,GM
17UB,2018,July,30,6,NA,NA,NA,no flowers,,GM
19UB,2018,July,30,6,NA,NA,NA,"only 1 flower but no pollen, flower wilted",,GM
30B,2018,July,30,6,9:15,Syrphid,1,small,,GM
30B,2018,July,30,6,9:15,Syrphid,1,small,,GM
30B,2018,July,30,6,9:15,Syrphid,1,small,,GM
24B,2018,July,30,6,NA,NA,NA,no flowers,,GM
29B,2018,July,30,6,9:16,NA,NA,,,GM
40B,2018,July,30,6,9:17,Syrphid,1,small,,GM
40B,2018,July,30,6,9:17,Syrphid,1,small,,GM
27B,2018,July,30,6,9:17,Lasioglossum,2,,,GM
27B,2018,July,30,6,9:17,Syrphid,1,,,GM
26B,2018,July,30,6,9:20,Syrphid,1,small,,GM
28B,2018,July,30,6,9:22,NA,NA,,,GM
38B,2018,July,30,6,9:24,Syrphid,1,,,GM
42B,2018,July,30,6,9:26,Syrphid,1,,,GM
37B,2018,July,30,6,9:29,NA,NA,,,GM
23B,2018,July,30,6,9:32,Syrphid,1,large,,GM
41B,2018,July,30,6,9:37,NA,NA,,,GM
39B,2018,July,30,6,9:43,Syrphid,1,small,,GM
30UB,2018,July,30,6,NA,NA,NA,no flowers,,GM
37UB,2018,July,30,6,9:47,Syrphid,1,small,,GM
37UB,2018,July,30,6,9:47,Syrphid,1,small,,GM
38UB,2018,July,30,6,9:48,Syrphid,1,small,,GM
40UB,2018,July,30,6,9:49,Syrphid,1,small,,GM
40UB,2018,July,30,6,9:49,Syrphid,1,small,,GM
27UB,2018,July,30,6,9:50,Lasioglossum,2,,,GM
27UB,2018,July,30,6,9:50,Lasioglossum,3,,,GM
27UB,2018,July,30,6,9:50,Lasioglossum,1,,,GM
27UB,2018,July,30,6,9:50,Syrphid,1,small,,GM
26UB,2018,July,30,6,NA,NA,NA,no flowers,,GM
25UB,2018,July,30,6,9:53,NA,NA,,,GM
25UB,2018,July,30,6,10:40,NA,1,,,GM
41UB,2018,July,30,6,10:42,Syrphid,1,small,,GM
37UB,2018,July,30,6,10:43,Syrphid,1,small,,GM
37UB,2018,July,30,6,10:43,Syrphid,1,small,,GM
37UB,2018,July,30,6,10:43,Syrphid,2,small,,GM
24UB,2018,July,30,6,10:46,Syrphid,1,small,,GM
24UB,2018,July,30,6,10:46,Syrphid,1,small,,GM
24UB,2018,July,30,6,10:46,Syrphid,1,small,,GM
39UB,2018,July,30,6,10:48,NA,NA,,,GM
28UB,2018,July,30,6,10:49,Syrphid,1,small,,GM
38UB,2018,July,30,6,10:51,NA,NA,,,GM
